exper,days,strain,numSurv
ITR,44,ITR4comp,0
3,1,KN99,5
3,2,KN99,5
3,3,KN99,5
3,4,KN99,5
3,5,KN99,5
3,6,KN99,5
3,7,KN99,5
3,8,KN99,5
3,9,KN99,5
3,10,KN99,5
3,11,KN99,5
3,12,KN99,5
3,13,KN99,5
3,14,KN99,5
3,15,KN99,5
3,16,KN99,5
3,17,KN99,5
3,18,KN99,5
3,19,KN99,5
3,20,KN99,3
3,21,KN99,3
3,22,KN99,3
3,23,KN99,0
3,24,KN99,0
3,25,KN99,0
3,26,KN99,0
3,27,KN99,0
3,1,7703,5
3,2,7703,5
3,3,7703,5
3,4,7703,5
3,5,7703,5
3,6,7703,5
3,7,7703,5
3,8,7703,5
3,9,7703,5
3,10,7703,5
3,11,7703,5
3,12,7703,5
3,13,7703,5
3,14,7703,5
3,15,7703,5
3,16,7703,5
3,17,7703,5
3,18,7703,5
3,19,7703,5
3,20,7703,5
3,21,7703,5
3,22,7703,1
3,23,7703,1
3,24,7703,1
3,25,7703,1
3,26,7703,1
3,27,7703,0
